model num,web,"theta(0,0)","theta(0,1)","theta(0,2)","theta(0,3)","theta(1,0)","theta(1,1)","theta(1,2)","theta(1,3)",fibers,seed,iso
203,2.544193551,104.4752924,104.4752924,104.4752924,104.4752924,104.4752924,104.4752924,104.4752924,104.4752924,TRUE,0.5,0.5
204,1.506182141,24.11418108,24.11418108,24.11418108,24.11418108,24.11418108,24.11418108,24.11418108,24.11418108,TRUE,0.5,0.5
205,1.466216555,169.7104994,169.7104994,169.7104994,169.7104994,169.7104994,169.7104994,169.7104994,169.7104994,TRUE,0.5,0.5
206,1.828605855,139.9075694,139.9075694,139.9075694,139.9075694,139.9075694,139.9075694,139.9075694,139.9075694,TRUE,0.5,0.5
207,1.993035742,137.9748537,137.9748537,137.9748537,137.9748537,137.9748537,137.9748537,137.9748537,137.9748537,TRUE,0.5,0.5
208,2.308291502,29.37752013,29.37752013,29.37752013,29.37752013,29.37752013,29.37752013,29.37752013,29.37752013,TRUE,0.5,0.5
209,1.974733874,49.47812595,49.47812595,49.47812595,49.47812595,49.47812595,49.47812595,49.47812595,49.47812595,TRUE,0.5,0.5
210,1.541179026,171.7162936,171.7162936,171.7162936,171.7162936,171.7162936,171.7162936,171.7162936,171.7162936,TRUE,0.5,0.5
211,1.669011873,105.7344034,105.7344034,105.7344034,105.7344034,105.7344034,105.7344034,105.7344034,105.7344034,TRUE,0.5,0.5
212,1.049784844,87.0917804,87.0917804,87.0917804,87.0917804,87.0917804,87.0917804,87.0917804,87.0917804,TRUE,0.5,0.5
213,1.28793142,118.0777198,118.0777198,118.0777198,118.0777198,118.0777198,118.0777198,118.0777198,118.0777198,TRUE,0.5,0.5
214,1.706789105,95.61992004,95.61992004,95.61992004,95.61992004,95.61992004,95.61992004,95.61992004,95.61992004,TRUE,0.5,0.5
